Titulo_Art,Procedencia_Art,Año_Art,Titulo_Ref,Procedencia_Ref,Año_Ref,Decada,Año_Art_Num,Año_Ref_Num,Dif_Años
Propuesta De Un Indicador Como Variable Auxiliar En El AnáLisis Cokriging,Revista Estadística de Colombia,2001,Geostatistics In Ecology: Interpolating With Know Variance,Ecology,1987,2000,2001,1987.0,14.0
Proceso De Galton-Watson,Revista Estadística de Colombia,2001,Extension Of A Result Of Seneta For The Super Critical Galton-Watson Process,The Annals Of Mathematical Statistics,1970,2000,2001,1970.0,31.0
Proceso De Galton-Watson,Revista Estadística de Colombia,2001,Stochastic Processes And Aplications In Biology And Medicine,Springer-Verlag,1973,2000,2001,1973.0,28.0
Proceso De Galton-Watson,Revista Estadística de Colombia,2001,Simulation Of Multitype Galton-Watson Chains,,1997,2000,2001,1997.0,4.0
EstimacióN De Datos Faltantes En Bloques Incompletos Balanceados Conectados,Revista Estadística de Colombia,2001,Design And Analysis Of Experiments,John Wiley & Sons,1986,2000,2001,1986.0,15.0
EstimacióN De Datos Faltantes En Bloques Incompletos Balanceados Conectados,Revista Estadística de Colombia,2001,"DiseñOs Experimentales, MéTodos Y Elementos De Teorı́A",Trillas;Limusa,1988,2000,2001,1988.0,13.0
EstimacióN De Datos Faltantes En Bloques Incompletos Balanceados Conectados,Revista Estadística de Colombia,2001,Experimental Design: Procedures For The Behavioral Sciences,Brooks/Cole,1968,2000,2001,1968.0,33.0
EstimacióN De Datos Faltantes En Bloques Incompletos Balanceados Conectados,Revista Estadística de Colombia,2001,Linear Model For Unbalanced Data,John Wiley & Sons,1987,2000,2001,1987.0,14.0
Una GeneralizacióN De La EstadíStica De Cook,Revista Estadística de Colombia,2001,Una GeneralizacióN De La Estadı́Stica Df-Beta,Revista Colombiana De Estadística,2000,2000,2001,2000.0,1.0
Una GeneralizacióN De La EstadíStica De Cook,Revista Estadística de Colombia,2001,Linear Models,John Wiley & Sons,1971,2000,2001,1971.0,30.0
HipóTesis Y Sumas De Cuadrados Tipo Iii Y Iv Un Enfoque A TravéS Del Modelo De Medias De Celda,Revista Estadística de Colombia,2001,Hypothesis Identification In The Case Of Missing Cell,The American Statistician,1982,2000,2001,1982.0,19.0
HipóTesis Y Sumas De Cuadrados Tipo Iii Y Iv Un Enfoque A TravéS Del Modelo De Medias De Celda,Revista Estadística de Colombia,2001,"Estimability, Testability And Connectedness In The Cell Means Model",Communication In Statistics,1985,2000,2001,1985.0,16.0
HipóTesis Y Sumas De Cuadrados Tipo Iii Y Iv Un Enfoque A TravéS Del Modelo De Medias De Celda,Revista Estadística de Colombia,2001,On The Lineal Combination Of Observations An The General Theory Of Least Squares,Sankhya: The Indian Journal Of Statistics,1945,2000,2001,1945.0,56.0
Muestreo De Conglomerados Con Multiplicidad: EstimacióN Del Total En Poblaciones Raras,Revista Estadística de Colombia,2001,Alternative Dual System Network Estimators,International Statistical Review,1985,2000,2001,1985.0,16.0
Muestreo De Conglomerados Con Multiplicidad: EstimacióN Del Total En Poblaciones Raras,Revista Estadística de Colombia,2001,National Health Interview Survey: Research For The 1995-2004 Redesign,Vital And Health Statistics,1999,2000,2001,1999.0,2.0
